"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price EUR"
"1","10","BK-885-CT-ND","BK-885-TR","BATTERY RETAINER COIN 12MM SMD","","10","0","0,64000","6,40"
"2","10","2104-TE034003-1CT-ND","TE034003-1","ELECTRO-MECHANICAL TRANSDUCER","","10","0","1,74300","17,43"
"3","10","497-19088-1-ND","MLPF-WB55-01E3","RF FILTER LOW PASS 2.45GHZ 6SMD","","10","0","0,23800","2,38"
"4","10","497-18489-ND","STM32WB55CGU6","ULTRA-LOW-POWER DUAL CORE ARM CO","","10","0","7,09000","70,90"
"5","10","490-18335-1-ND","XRCGB32M000F1H02R0","2.0X1.6X0.65MM 32MHZ CRYSTAL","","10","0","0,34000","3,40"
"6","10","XC2744CT-ND","ECS-.327-9-12R-C-TR","CRYSTAL 32.7680KHZ 9PF SMD","","10","0","0,51400","5,14"
